Conutry_Adress,Descripiton,Founded_Year,Horly_Rate,Number_of_Employees,Phone_Number,Project_Size,Street_Adress,company_name,company_website
China,"PCITECH is a professional provider of artificial intelligence technology and products in China, providing face recognition, structured, knowledge graph and intelligent big data technology and services to the world.",Founded 1992,Undisclosed,"1,000 - 9,999",+86-20-8552-1717-9/+86-20-8552-1717-0,Undisclosed,"PCI Intelligent Building, No.2 Xincen Fourth Road","Pci Technology Group Co., Ltd.",https://www.pcitech.com/
China,"Founded in 1997, Business-Intelligence of Oriental Nations Corporation Ltd. is a high-tech software enterprise focusing on core technologies such as big data and cloud computing. It was successfully listed on the gem of Shenzhen Stock Exchange in 2011 (Stock code: 300166).",Founded 1997,Undisclosed,"1,000 - 9,999",+86-10-8486-6666,Undisclosed,"Business-Intelligence of Oriental Nations Building, Building 1, Yard 1,Chuangda Third Road",Business-Intelligence of Oriental Nations Corporation Ltd.,https://www.bonc.com.cn/
China,"Legendsec Information Technology (Beijing) Co., Ltd. focuses on the network and information security.",Founded 2006,Undisclosed,"1,000 - 9,999",+86-10-6297-2892,Undisclosed,"Floor 1, Section 2, Xianfeng Building, No.7 Pioneer Road, Shangdi Information Industry Base","Suirui Group Co., Ltd.",https://www.suirui.com/
India,Data Sack – Millennial Software Consulting Firm,Founded 2020,< $25 / hr,50 - 249,9080022222,"$1,000+",4 Gandhipuram West,Datasack,https://datasack.in
China,Digital China Information Service Company Ltd.Chinese abbreviation: 神州信息.English abbreviation:DCITS Stock code: 000555.SZ.,Founded 1996,Undisclosed,"10,000+",+86-755-8296-6699,Undisclosed,"DCITS Building. No.E.18, A-Park,N0.10 Xibeiwang Dong Rd",Digital China Information Service Company Ltd.,http://www.dcits.com/
United States,,Founded 0,Undisclosed,"10,000+",+1.888.747.7911,Undisclosed,"HGS USA Corporate Headquarters , 4933 Lincoln Avenue",HGS - Hinduja Global Solutions,https://hgs.cx/
China,"Founded in 2012, Kingsoft Cloud is the leading cloud service provider in China. Since establishment, Kingsoft Cloud is devoting on providing customer safe, reliable, stable and high-quality cloud computing services.",Founded 2011,Undisclosed,"1,000 - 9,999",+86-400-028-9900,Undisclosed,"Building E, Xiaomi Technology Park, No.33 Xi’erqi Middle Road","Beijing Kingsoft Cloud Network Technology Co., Ltd.",https://www.ksyun.com/
China,"At the beginning of 2015, we gathered from all over the world to establish Xi'an Chaoqian Intelligent Technology Co., Ltd. We hope to use data science to change the medical industry, make the work of medical staff more convenient and patients get more accurate diagnosis and treatment. Our core team consists of top technicians, including data scientists with many years of overseas medical experiences, engineers with rich development experiences and medical experts who have been engaged in the medical industry for a long time.",Founded 2015,Undisclosed,50 - 249,+86-29-8885-3176,Undisclosed,"16th floor, building B, Greenland Center, Junction of Jinye Road and Zhangba 2nd Road, Xi'an High and New Tech Zone","Xi'an Chaoqian Intelligent Technology Co., Ltd.",http://www.chaoqiankeji.com
China,"Whale Cloud Technology Co., Ltd is a leading technology company specializing in telecom software development and delivery, cloud computing, big data analytics, AI-enabled service operations, IoT, smart city solutions and other professional services including planning and consulting. Founded in 2003, the company provides services to various market segments including telecom operators, governments, and enterprises around the world. At present, Whale Cloud’s business scope extends from telecom markets to vertical industries. It has built its core competitiveness in communications software, operation services, cloud computing, big data analytics, AI, and Internet architecture.",Founded 2003,Undisclosed,"1,000 - 9,999",+86-25-6666-9555,Undisclosed,"No.888 Zhengfang Rd, Jiangning District","Whale Cloud Technology Co., Ltd.",https://www.iwhalecloud.com/
China,"Fanews, the leading real-time data intelligence and exchange provider specialized in news and media content in China, provides digitalization and convergence, big data and monetization services to 1000+ news agencies, national and local publishers, Internet portals, large brands, and other players in the digital content ecosystem.",Founded 2012,Undisclosed,50 - 249,400-187-9858,Undisclosed,"No.2 Jingshan Road, Huifeng International Business Center, Building C, Floor 8-10, Zhejiang Province","Hangzhou Fanwen Science and Technology Co.,Ltd.",https://www.hzfanwen.com/
China,"Weimai was born on September 9, 2015. It is one of China's top ten Internet medical innovation companies, CB Insights is one of the top 150 global digital health companies, and China's largest city-level Internet + medical health service platform.",Founded 2015,Undisclosed,50 - 249,+86-400-000-3999,Undisclosed,"Building 13 (Weimai Building), Overseas High-level Talents Innovation Park, No. 998, Wenyi West Road, Yuhang District","Weimai Technology Co., Ltd.",https://www.myweimai.net/
Germany,"With a background in computer science, Michele Dallachiesa has been working at the edge of data engineering and data science for more than five years as an entrepreneur and data scientist. He has a solid foundation in answering complex questions from location, sequence, and graph data, obtained during his doctoral research and professional experience. Since 2019, he is helping technology clients understand and implement data-driven products with the tools of product design, data science, and software engineering.",Founded 2019,$100 - $149 / hr,Freelancer,00393472308666,"$5,000+",Milbertshofener Str. 6,Signal Forge,https://www.sigforge.com
Mexico,"Our vision is driven by a fundamental desire to get to the core of problems, leveraging the most advanced ICT technologies and solutions to discover actionable insights. We are motivated by a dream to enrich and inspire the world around us with better experiences for our clients and partners and, more broadly, with higher levels of social wellbeing for the greater good of society.",Founded 1985,Undisclosed,"10,000+",+52-5558619300,Undisclosed,Km. 25 Autopista Chamapa Lechería Bodega 3 y 11 Parque Industrial San Martin Obispo,Samsung Sds México,http://www.samsungsds.com/
United States,"Ayasdi is the leader in the design, development, and deployment of enterprise-grade intelligent applications. These applications combine state-of-the-art unsupervised learning, superior prediction, industry-leading explainability (called justification) and intuitive, context-specific user-experiences. Flagship applications include Intelligent Segmentation and its sister application Change in Behavior analytics for financial crimes, Clinical Variation Management for healthcare and Program Performance for the government sector.",Founded 2008,Undisclosed,50 - 249,,Undisclosed,"4400 Bohannon Drive, Suite 200",Symphony AyasdiAI,https://www.ayasdi.com/
United States,"At Telegraph Hill Software, we serve fintech, healthcare, and software-as-a-service clients. We bring deep technical expertise and broad technology management experience to bear on every engagement. We nurture a strong partnership with Google in order to take the best advantage of the rapid advancement of the Google Cloud Platform.",Founded 2011,Undisclosed,10 - 49,,Undisclosed,535 Mission Street,Telegraph Hill Software,https://telegraphhillsoftware.com/
United States,"Nfinity is a business consulting solutions provider offering strategy and technology-focused services to both the public and private sectors. We inspire our customers by providing innovative and cost-effective solutions that transform their operations. We work collaboratively with our clients, and consistently strive to exceed expectations. Each one of our leadership members has more than two decades of experience in Information Technology and has worked for both large enterprises and smaller firms.",Founded 2010,Undisclosed,10 - 49,,Undisclosed,"2751 Prosperity Ave, 570",Nfinity,https://nfinityllc.com/
United States,"DeepThink Health has developed a precision intelligence platform that collects, structures, organizes and curates genomic, clinical and lifestyle patient data, and then turns it into actionable intelligence. Its technology platform transforms real-world data into intelligence using DeepThink’s advanced analytics, artificial intelligence (AI), predictive modeling, natural language processing, and other machine learning tools.",Founded 2018,Undisclosed,10 - 49,888.636.0331,Undisclosed,2600 Hilltop Dr,DeepThink Health,https://www.deepthinkhealth.com/
United States,"The AI Platform from IV.AI helps companies like Time Warner, Estée Lauder, Toyota, and Capital One better engage, understand, and serve their customers. See case studies, play with live models, and explore success metrics that highlight how IV.AI adds value. Unlike other AI companies, IV.AI does not promise an omniscient being, capable of mysteriously finding solutions to any and every problem.",Founded 2016,Undisclosed,10 - 49,323.285.1618,Undisclosed,811 W 7th St,IV.AI,https://iv.ai/
United Kingdom,"Our belief that advanced techniques such as machine learning and artificial intelligence can revolutionize the way businesses operate. We pride ourselves on being at the cutting edge and believe the products we produce will help demonstrate its transformative power. Whether it’s producing systems that can help businesses see their customers in a completely new light or building applications to help predict future market trends, Hertzian’s platform competes at the highest level.",Founded 2015,Undisclosed,10 - 49,+4418.7224.8892,Undisclosed,Treliske,Hertzian,http://www.hertzian.co.uk/
United Kingdom,"COHESION Medical is an award-winning technology company offering leading-edge Connected Digital Health Solutions for Life-Long Health and Wellness based in Glasgow, Scotland.",Founded 2012,Undisclosed,10 - 49,+44.141.611.9686,Undisclosed,"70 Pacific Quay,",Cohesion Medical,http://www.cohesionmedical.com/
United Kingdom,"AVORA is a next-generation data intelligence solution delivering cost-effective, machine learning powered, Business Intelligence as a Service. Accelerated time to insight & automatic analysis AVORA consolidates data from hundreds of sources within an organization, allowing access to users to analyze and act on the information that’s important to them. With our machine learning, AVORA automatically detects anomalies and trends across your entire data set, alerting users to key changes in business performance.",Founded 2014,Undisclosed,10 - 49,,Undisclosed,22 Upper Ground,AVORA,https://avora.com/
United States,"BrandPDQ provides revolutionary solutions for brand and trademark searching, enforcing, tracking, and managing.",Founded 2013,Undisclosed,10 - 49,+1.256.349.5436,Undisclosed,468 N. Court Street,Brand PDQ,https://www.brandpdq.com
China,"Cardinal Operations is a unique big-data decision company in China. Founded by five Stanford professor and PhDs, and with a team of world-class decision making experts and data scientists, Cardinal Operations aims at using big data to provide solutions for firms under complex decision scenarios. Different from many other “big data” companies, we try to close the loop in the decision chain in the era of big data — from data collection, pattern analysis, all the way to the final decision. Particularly, with the decision making experts and the state-of-the-art models and algorithms, we fill the gap between data analysis results and actionable decisions, making the most use of data to create value for companies.",Founded 2016,$50 - $99 / hr,10 - 49,010-84186505,"$5,000+","518, Buiidling B, 1 Qinglong Hutong, Dongcheng Qu",Cardinal Operations,https://www.shanshu.ai/introduction
United States,"Soothsayer Analytics engages with companies to solve challenging Data Science problems and actively works with state-of-the-art techniques.  We help clients predict the future, optimize their business, and identify micro-patterns and hidden connections that traditional methods cannot. We build custom algorithms and analytic tools, contribute to advanced R&D, and help companies build internal Analytic Centers of Excellence.",Founded 2014,$100 - $149 / hr,10 - 49,+1.844.44.SOOTH,"$5,000+",20361 Middlebelt Road,Soothsayer Analytics,http://soothsayeranalytics.com/#home
United Kingdom,"Artificial Intelligence and Machine Learning development services. We are an innovative AI company with great experience in ML, image and video recognition, OCR and geospatial data analysis. We use custom modern AI technologies to transform businesses and industries into high automated companies. Our apps help automate and simplify business processes, reduce production costs. We use computer vision libraries such as OpenCV, optimize existing methods, and create our own algorithms. .",Founded 2015,$25 - $49 / hr,2 - 9,+16504570745,"$50,000+",New Cross Rd,Datapipesoft,https://datapipesoft.com/
United States,,Founded 1992,$50 - $99 / hr,"1,000 - 9,999",+1 (408) 755 3000,"$5,000+","2890 Zanker Road, Suite 200",ACL Digital,https://www.acldigital.com
United States,"We drive transformation and ensure optimal business growth by utilizing all the methodologies and tools required for companies to thrive in the digital landscape. We empower our clients’ digital marketing strategy by equipping them with the unprecedented capabilities of Artificial Intelligence and enable them to strengthen their business cores by capitalizing on new and modern technology. Our pragmatic approach automates all operations, consequently optimizing all aspects of the business and fuelling digital growth",Founded 2019,$150 - $199 / hr,10 - 49,+1 727 489 4866,"$5,000+","2035 Sunset Lake Road, Suite B-2",Mountainise Inc,https://www.mountainise.com/
United States,Your Cloud Transformation Partner to boost your organization’s performance and stand out amongst the competition.,Founded 2018,$100 - $149 / hr,50 - 249,+1 332-203-6895,"$1,000+",500 West 5th Street,CloudLink,https://cloudlink.us
Poland,"At Pure Company, we grow when our Clients grow.",Founded 2018,$25 - $49 / hr,10 - 49,+48 22 278 3615,"$5,000+",145 Puławska,Pure Company,https://www.purecompany.pl
Spain,"We use AI to automate processes where data is hidden in documents or text. Contracts, Invoices, Emails, Notary Documents, handwritten forms, and documents are some of the unstructured data we handle and manage.",Founded 2021,$25 - $49 / hr,10 - 49,+34650619047,Undisclosed,200 Paseo de la Castellana,Lexic.AI,http://www.lexic.ai
Ukraine,"We specialize in banking, trading, e-commerce, and the ICT Sector, delivering innovative solutions to our customers’ most challenging problems. Our team of technologists, strategists, and data scientists deliver powerful digital experiences.",Founded 2017,$25 - $49 / hr,10 - 49,+380 (50) 246 00 68,"$10,000+","Hlinky St, 2, Dnipro, Dnipropetrovsk Oblast, Ukraine, 49000",GiniAnalytics,https://www.ginianalytics.com/
Italy,"We leverage data, technology, and knowledge to deliver world-class solutions for your business needs. Our team is a combination of business and technical professionals with real hands-on experience in ideating, developing, and delivering data science solutions. We leverage an extensive network of partners that excel in their respective areas to deliver turnkey solutions and services worldwide.",Founded 2019,Undisclosed,10 - 49,3408622720,Undisclosed,3 Via Ariberto,Datafit Italia,https://www.datafit.it
India,"Amlgo Labs is an advanced data analytics and decision sciences company based out in Gurgaon and Bangalore, India. We help our clients in different areas of data solutions includes design/development of end to end solutions (Cloud, Big Data, UI/UX, Data Engineering, Advanced Analytics and Data Sciences, Machine Learning, Artificial Intelligence, Big Data) with a focus on improving businesses and providing insights to make intelligent data-driven decisions across verticals. We have another vertical of business that we call - Financial Regulatory Reporting for (MAS, APRA, HKMA, EBA, FED, RBI etc) all major regulators in the world and our team is specialized in commonly used regulatory tools across the globe (AxiomSL Controller View, OneSumX Development, Moody’s Risk, IBM Open Pages etc).We build innovative concepts and then solutions to give an extra edge to the business outcomes and help to visualize and execute effective decision strategies. We are among top 10 Data Analytics Start-ups in India, 2019 and 2020.",Founded 2017,$25 - $49 / hr,10 - 49,8512001385,"$10,000+",DLF Phase 4,Amlgo Labs,https://amlgolabs.com/
United Kingdom,"We are specialists in using advanced analytics to solve crucial business problems. With extensive experience across multiple sectors,",Founded 2016,$150 - $199 / hr,2 - 9,+44.330.133.1942,"$10,000+","Avenue HQ, 10-12 E Parade",Method Analytics Ltd,https://method-analytics.com/
United States,"CAVU was founded in 2016 when after the successful development of an algorithm designed to capitalize on market inefficiencies left the team wondering: how do we monetize this and what should we build next? Knowing the limitless possibilities in the world of algorithms, the founders set out to build an algorithm marketplace coupled with the world's leading data scientists and business strategists. The result of this effort is CAVU Global; designed to give organizations the answers they need to accelerate business decisions and create a competitive advantage in the market.",Founded 2016,$150 - $199 / hr,10 - 49,3035148483,"$50,000+",944 Pearl St,CAVU Global,https://www.cavuglobal.io/
Finland,"KRONOMETRIX™ Kronometrix is an easy-to-use, real-time data analytics platform designed for Industrial IoT, ICT, weather and environment. It provides all the necessary functionalities in a simple package: consistent data recording across several operating systems, instant access to raw data, ready-made monitoring objects for various industries and applications, and in-cache data analysis on top of it’s own memory datastore. For ICT, Kronometrix™ can help organisations to measure and analyse their computing infrastructure, from operating systems, enterprise services to web applications. For more details please check Kronometrix ICT industry page: https://www.kronometrix.com/ict/ For weather and environment, Kronometrix can analyse the indoor air quality or keep track of the city air pollution. Check out our products and services designed for environment, https://www.kronometrix.com/environment/",Founded 2014,$100 - $149 / hr,10 - 49,358 50 4839978,Undisclosed,Valimotie 13A,Kronometrix,https://www.kronometrix.com
United States,"SFL Scientific is a data science consulting and AI services firm that develops custom machine learning, data engineering, and AI solutions. We work with public and private sector clients to provide data strategy, prototype, integrate, and manage sophisticated AI solutions by leveraging emerging technology. With a globally connected network of technology partners, SFL Scientific brings data science and data engineering talent to deliver professional services and insights to address complex business challenges.",Founded 2015,$300+ / hr,50 - 249,6178040002,"$25,000+",3 Batterymarch Park,SFL Scientific,http://sflscientific.com
,"ASG Technologies Group, Inc. provides global organizations with a modern approach to Digital Transformation to succeed in the Information Economy. ASG is the only solutions provider for both Information Management and IT Systems. ASG’s Information Management solutions enable companies to find, understand, govern and deliver information of any kind, from any source – whether structured or unstructured – through its lifecycle from capture to analysis to consumption. The IT Systems Management solutions empower companies to support traditional and modern digital initiatives, operate their IT infrastructure more efficiently and effectively and reduce the cost of managing and running their internal IT systems landscape. ASG is proud to serve more than 3,000 customers worldwide in 60 countries and in top vertical markets including Healthcare, Financial Services, Insurance and Government.",Founded 1986,Undisclosed,"1,000 - 9,999",,"$5,000+",,ASG TECHNOLOGIES,http://asg.com
United States,The best way to predict the Digital Future is to create it.,Founded 2014,$25 - $49 / hr,10 - 49,9292667148,"$10,000+",2545 East Southlake Blvd,Digiture,http://www.digiture.com
Switzerland,"The Valdon Group GmbH is a software boutique and financial advisory firm with focus on Financial technology, Fintech, quantitative modeling and regulatory change. Founded in 2015, the group aims to transfer knowledge and industry practice to where it is needed. The company's business is to bring research results, peer experience and cutting edge knowledge to our clients, as well as to conduct and deliver research and to provide analytic and advisory services, wherever Fintech knowhow is required and missing. Our passion, and goal, is to bridge the gap between theory and practice, making the most out of both.",Founded 2015,$100 - $149 / hr,2 - 9,,"$10,000+",Seilergraben 53,Valdon Group GmbH,http://www.valdon.ch
,,,,,,,,Hyphen Technology,https://www.hyphen.co.uk
United Kingdom,"MindGap brings deep expertise in Strategy Consulting alongside Artificial Intelligence and Machine Learning technologies and frameworks. Our agile and results-oriented approach allows us to create a tailor-made experience for every client, realising the full potential of the data.",Founded 2019,$50 - $99 / hr,2 - 9,07455563376,"$5,000+",88 Fitzjohn's Avenue,MindGap,http://mindgap.dev
United States,"Stone Soup Tech is a US-Romanian company specializing in innovative and complex software projects that integrate Artificial Intelligence, big data, web or desktop solutions and native or hybridmobile applications.",Founded 2003,$100 - $149 / hr,50 - 249,770-229-2253,"$10,000+","410 E Taylor St, Ste E-2","Stone Soup Tech Solutions, LLC",http://www.stonesouptech.com
United States,"Hexaview Technologies is a Digital Transformation Firm providing high-end products and solutions to clients who include leading players in the worldwide technology industry. We specialize in designing, developing, and implementing complex data and software solutions that leverage the most advanced technology infrastructure to your critical business needs. Our niche spans technology pillars like” – Salesforce, Cloud, AI, NLP, ML, and more.",Founded 2010,$25 - $49 / hr,250 - 999,+1 (646) 403-4525,"$10,000+",East Brunswick,Hexaview Technologies,https://hexaviewtech.com/
Colombia,"With us, your organization ensures a path to digital transformation while having,",Founded 2019,$50 - $99 / hr,10 - 49,+573014581352,"$5,000+",CL 36A No 62 BB 33,Trascender Global,https://trascenderglobal.com
United States,Sigmoid Group is a company specialized in the practice of Data Science and the application of Artificial Intelligence with the main purpose of solving the most challenging problems organizations are facing.,Founded 2018,Undisclosed,10 - 49,+19293711810,"$10,000+",30 Augusta Street,Sigmoid Group,http://www.sigmoidgroup.com
Slovakia,We are an innovative and agile software house leveraging knowledge gained over 15 years working for big international corporations.,Founded 2016,$50 - $99 / hr,2 - 9,+421902104770,Undisclosed,Za panskou zahradou 40,ru3ch interactive s.r.o.,https://www.ru3chinteractive.com
United States,"Futurism Technologies is a CMMI Level 3 and ISO 9001:2015 and ISO 27001 certified organization. A leading provider of digital information technology, consulting, cybersecurity, and digital transformation services. Headquartered in Piscataway, New Jersey (U.S.), Futurism takes great pride in its ability to provide a guidance and definition to their clients’ digital journey. Established in 2002 , Futurism Technologies has a global presence including USA, UAE, Australia, Germany and India. With over 10 global development and delivery centers worldwide and approximately 750+ employees, Futurism is a member of the NASSCOM group and is ranked among the top-performing and fastest-growing digital transformation companies in the USA.",Founded 2002,$25 - $49 / hr,250 - 999,+1 (732) 790 - 2938,"$10,000+",30 Knightsbridge RoadSuite 525,Futurism Technologies,https://www.futurismtechnologies.com/
Poland,gradify.ai is an artificial intelligence boutique executing projects in the fields of advanced data science and data engineering for startups and enterprises.,Founded 2021,$50 - $99 / hr,2 - 9,+48222662367,"$10,000+",Twarda 18,gradify.ai,https://www.gradify.ai
India,"ALTEN Calsoft Labs is a next-gen digital transformation, enterprise IT and product engineering services provider. The company enables clients to innovate, integrate, and transform their business by leveraging disruptive technologies like mobility, big data analytics, cloud computing, RPA, IoT and software-defined networking (SDN/NFV). We also provide Managed IT Services",Founded 1992,$25 - $49 / hr,"1,000 - 9,999",+91 8040343000,"$25,000+","7th Floor, Tower D, IBC Knowledge Park, 4/1, Bannerghatta Main Road",ALTEN Calsoft Labs,http://www.altencalsoftlabs.com
Argentina,"UNX combines innovation, engineering and collaborative working culture to transforms needs into solutions and ideas into products based on technology and design.",Founded 2018,$25 - $49 / hr,10 - 49,+5493513214792,"$25,000+",Baigorri 653,UNX Digital,https://www.unxdigital.com/
Vietnam,"A Microsoft Gold Partner for Application Development, Silver for Cloud Solution Providers, and Data Analytics",Founded 2010,< $25 / hr,50 - 249,842866810782,"$1,000+","51 Hoang Viet, Phuong 4, Quan Tan Binh",New Ocean IS,https://www.nois.vn
India,"Tenzai was founded by award-winning data science leaders with the vision of making AI accessible, scalable, and impactful for enterprises. We help organizations solve complex business problems through a hybrid approach of employing business acumen and innovative AI & Cognitive solutions. Our team of data scientists, data engineers, and visualization experts hailing from premier institutes like IITs. The team has experience in consulting Fortune 500 clients in North America, APAC, and the Middle East across verticals CPG, Retail, Financial Services, Healthcare, and Education.",Founded 2019,$25 - $49 / hr,10 - 49,+919972097824,"$5,000+","rd & 4th Floor, Number 16, 17th Cross Road, 7th Sector, HSR Layout,",Tenzai Systems,http://www.tenz.ai
,Specialty in understanding how technology can solve business problems at scale.,Founded 2007,$300+ / hr,Freelancer,,"$50,000+",,Qorbani,https://www.qorbani.com
United States,"StraViso helps businesses grow revenues, reduce costs, gain efﬁciencies and improve engagements with state-of-the-art automation and communication systems.",Founded 2015,Undisclosed,50 - 249,9637755776,Undisclosed,"1 Cowboys Way, Frisco",StraViso,https://straviso.com
,"Kanerika Inc is a multi-faceted, data-driven Business Intelligence, Data Science, Data Analytics and AI Solutions provider. Kanerika offers a full range of 'concept to implementation' services in the business software development domain. Our targetted industry is Logistics Spend Management, Healthcare, Education, Pharma and Manufacturing. With offices in USA, Estonia and India, we serve our clients present in USA, Europe, Australia, Singapore and India.",Founded 2015,$50 - $99 / hr,50 - 249,,"$50,000+",,Kanerika Inc,http://www.kanerika.com
Canada,Eigen’s sole mission is to enable our customers to make this opportunity a reality today.,Founded 2012,Undisclosed,10 - 49,+1.506.721.7312,Undisclosed,444 Aberdeen St #255,Eigen Innovations Inc.,https://eigen.io/the-eigen-solution/
United States,"Linkosys is an information technology consulting company. It was founded in July 2016 and has two offices (California, USA, and Hanoi, Vietnam) with a team of well-trained and experienced engineers. We provide clients with cutting-edge technology, high-quality products, and business solutions.",Founded 2016,$25 - $49 / hr,10 - 49,(+1) 714-655-8552,"$10,000+",100 Spectrum Center Drive,Linkosys,https://linkosys.com/
Hong Kong,Cronumax is a software consulting firm focused on automation.,Founded 2019,$300+ / hr,10 - 49,85256638619,"$1,000+","Flat 11, 3/F, Trend Centre, No 29-31 Cheung Lee St, Chai Wan, Hong Kong",Cronumax,https://cronumax.com/
Poland,We are a world-class,Founded 2019,$50 - $99 / hr,2 - 9,571378669,"$5,000+",Pulawska 472,Cognitiva,https://www.cognitiva.dev/
India,"We help organizations adopt emerging technologies, such as AI, Analytics, Blockchain, etc. into their businesses:",Founded 2012,$100 - $149 / hr,10 - 49,9901504006,"$25,000+","Meghana Residency, Gunadala",Cenacle,https://cenacle.co.in
Colombia,"Our mission Is to help our customers create innovative services and solutions and grow their businesses. For that purpose we provide rich technology competencies in, publishing, text analytics and pharmaceutical domain expertise. Since our inception, we have been focused on delivering the best solutions while maintaining an open-minded, dynamic, and customer-centric approach.",Founded 2016,Undisclosed,50 - 249,+57 (034) 266 95 84,Undisclosed,"Cr 37a # 8 – 43, Edif. Rose Street Ofic. 901",Source Meridian,https://sourcemeridian.com/
United States,"At Zirous, we've provided IT Solutions to our customers for 30 years. Our ultimate goal is to improve our customer's business process by leveraging cutting edge technologies. We aim to increase efficiency, productivity and profitability with:",Founded 1986,Undisclosed,50 - 249,+1.515.225.9015,Undisclosed,1503 42nd St. Suite 210,Zirous,https://www.zirous.com/
India,"Comsense Technologies is a global consulting firm with a state of the art Development Centre in Pune and offices in USA & Rwanda, run by Ex. Directors from Big 4 Consulting and Fortune 500 companies.",Founded 2014,< $25 / hr,50 - 249,+91 9422307627,"$5,000+","Comsense Technologies Pvt. Ltd. IndiQube- Park Plaza, 7th Floor, Ganeshkhind Rd, Next to Reliance Centro, Shivajinagar, Pune, Maharashtra 411005",Comsense Technologies,https://comsensetechnologies.com/
United States,We provide a variety of,Founded 2020,$150 - $199 / hr,10 - 49,432-827-5335,"$10,000+",1105 South Hayworth Avenue,Data-Sleek,https://www.data-sleek.com
India,We are a,Founded 2012,$100 - $149 / hr,50 - 249,8750068961,"$10,000+","Vatika Business Centre and Co-working Spaces 4th Floor, Suite Number 9,Tower 1, Okaya Centre B-5 Yoga Nand Marg, near IIM Lucknow campus, Sector 62, Noida, Uttar Pradesh 201309",Valiance Solutions,http://www.valiancesolutions.com
Armenia,"Metric is a leading Enterprise AI solution provider. From startups to Fortune 100 companies we help to uncover their hidden potential and achieve more with our deep expertise in Machine Learning, Data Analytics, Deep Learning, NLP, and Computer vision.",Founded 2019,$50 - $99 / hr,10 - 49,+37499020612,"$25,000+",18 Isahakyan poxoc,Metric LLC,https://metric.am/
Finland,We at AI Roots have a mission to create the best network of AI/Data freelancers and offer the most exciting projects to our network as well as help our customers to utilize these resources.,Founded 2019,$100 - $149 / hr,50 - 249,+358 400 879929,"$10,000+",2 Tekniikantie,AI Roots Oy,https://www.rootsof.ai/
United States,"First Line Software is a premier partner known for its expertise in technology consulting, custom software development, cloud migration, and digital transformation. With a strong presence in North America, Europe, Asia, and Australia, First Line Software offers a wide range of software engineering, software enablement, and digital transformation advisory services to its clientele.",Founded 2010,$25 - $49 / hr,250 - 999,(877)737-7178,"$50,000+","1 Broadway, 14th Floor",First Line Software,https://firstlinesoftware.com/?utm_source=clutch.co&utm_medium=referral
Poland,"We help our clients get up to speed with taking advantage of their data. We consult on a wide spectrum of projects from data infrastructure through the ETL process, to conversion rate improvement using Advanced Analytics and Machine Learning.",Founded 2017,$100 - $149 / hr,10 - 49,0048 793 901 265,"$50,000+",132/136 Aleja Niepodległości,TantusData,http://tantusdata.com
Israel,"Fayrix is a specialist software development company that has successfully set the seal on over 250 projects, within the course of the last 12 years. Having onboard a skilled team of engineers numbering over 1,500, the company is headquartered in Israel with 8 R&D centers located in Russia and Eastern Europe.",Founded 2005,< $25 / hr,"1,000 - 9,999",97293740180,"$5,000+",Zarhin St 13,Fayrix,http://www.fayrix.com/?utm_source=clutch
United States,"We are a global technology consulting and software development company focusing on emerging technologies. Our mission is to transform products, services, workflows, and entire companies to drive business growth today and into the future.",Founded 2009,$50 - $99 / hr,250 - 999,1 213 436 7785,"$25,000+","120 Vantis Drive, STE 545,",ITRex Group,https://itrexgroup.com/
Ukraine,Intelliarts is an Eastern European provider of,Founded 1999,$50 - $99 / hr,50 - 249,+38 067 670 6720,"$50,000+","7, Kotyka Str., 700",Intelliarts,https://www.ai.intelliarts.com/?utm_source=referral&utm_medium=clutch
Colombia,"Perficient Latin America is a global software development consultancy transforming how the world’s biggest brands connect with customers and grow their business. At Perficient Latin America we see our future as a community built around continuous learning and we seek to grow with professionals while promoting principles and values of an agile culture where teams are the owners of their performance. At Perficient, we are committed to our People Promise to challenge, champion, and celebrate our people to provide opportunities for all team members and build a great future together. #GrowWithUs",Founded 1986,$50 - $99 / hr,250 - 999,1-855-411-7738,"$75,000+",Cra 42 (Aut. Sur) No. 72 - 11 4to piso,Perficient Latin America,https://nearshore.perficient.com/
United States,Transforming Business Through Advanced Data Analytics,Founded 2001,$200 - $300 / hr,10 - 49,877.676.3743,"$10,000+","2600 Tenth Street, Suite 616",Beyond the Arc,http://beyondthearc.com
Brazil,"Indicium is a Data Squad as a Service company, based in Florianópolis, Brazil.",Founded 2017,$50 - $99 / hr,50 - 249,+55 (48) 3371 -7293,"$10,000+","Edifício TechPlan, Rua Orlando Phillippi, 100 - 3º Andar - Sala 304 - Saco Grande,",Indicium,https://www.indicium.tech/en/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory
Ukraine,"Mighty Digital empowers data-informed growth for digital brands. We help clients leverage data to acquire/activate retain more customers, and build solid data culture. Mighty has been on the market for almost 5 years working with Rarible, Unstoppable Domains, Ford, Tier, Tripadvisor, Kapsch, and Plink. Solutions we build:",Founded 2017,$50 - $99 / hr,10 - 49,+380688559870,"$25,000+","Volodymyrska St., 101",Mighty Digital,https://mighty.digital/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory
Poland,"We’re a AI, Big Data and Business Intelligence technology-consulting company, supporting customers in custom analytics solution development.",Founded 2017,$50 - $99 / hr,10 - 49,735599277,"$10,000+",Swieradowska 47,Addepto,https://addepto.com/
